Depth,DT,RHOB,NPHI,PEF,SGR,RT
3499.866,67.6326,2.5739,0.175097,4.0393,33.3738,10.1182
3026.3592,55.0945,2.7185,7.8813,3.7225,21.5744,24.7559
3026.5116,54.5366,2.7136,7.1793,3.6424,20.5932,30.482
3026.664,54.0672,2.7017,7.4311,3.5442,20.336,33.1494
3155.1372,66.6248,2.5276,0.202684,3.8973,37.2868,25.896
3733.9524,57.7837,2.6421,0.18871,4.1153,32.0456,36.6613
3232.404,64.9363,2.6134,21.1542,3.3922,91.0018,3.0207
3350.6664,59.1305,2.6439,0.150642,3.4643,53.2837,6.7974
3359.2008,56.1121,2.6886,0.11394,3.5803,33.4479,15.7237
3628.1868,57.5568,2.4015,0.106262,4.1642,62.9372,27.0258
3356.3052,61.3474,2.7034,0.160287,3.6188,63.1028,4.5429
3654.0948,64.3521,2.6206,0.170501,3.7989,35.578,4.9256
3356.61,60.1895,2.6952,0.173181,3.6344,71.5676,2.5651
3028.188,58.6227,2.5646,12.1831,2.9943,30.6008,48.2567
3028.3404,58.8174,2.5736,11.2331,3.0486,31.3475,54.7234
3028.6452,58.8953,2.5909,9.5114,3.1187,33.6183,60.4076
3028.7976,58.846,2.5996,8.6998,3.1357,35.6458,56.5994
3028.95,58.786,2.6101,7.8583,3.1642,38.602,45.8155
3029.1024,58.7407,2.6218,6.9246,3.2111,42.4969,32.7944
3029.2548,58.7007,2.6345,6.032,3.2741,47.0257,27.0473
3029.4072,58.6166,2.6483,5.3183,3.3529,51.3362,22.1704
3245.2056,61.8251,2.5835,7.4151,3.959,58.1347,8.2145
3245.358,60.4202,2.6096,6.3326,4.1069,58.0739,9.1703
3245.5104,59.2839,2.6278,5.6158,4.1981,57.9104,10.4786
3245.6628,58.427,2.6393,5.1738,4.2283,57.6249,11.1223
3245.8152,57.8967,2.6479,4.872,4.2188,57.1139,12.4668
3283.6104,58.4264,2.6132,8.3219,3.7833,43.0494,10.0039
3283.7628,58.8354,2.599,10.0181,3.6266,44.2331,9.1086
3283.9152,59.5038,2.5847,11.9451,3.4941,45.0959,8.2011
3284.0676,60.4128,2.5714,13.9839,3.3949,45.5793,7.8068
3284.22,61.3975,2.5607,15.8748,3.3254,45.7755,7.2601
3344.418,52.3293,2.7553,6.84E-02,3.4923,51.2792,46.2775
3767.328,58.9809,2.6547,0.155119,3.9912,44.1383,10.5752
3106.9788,107.364,2.5854,0.217608,3.895,44.3479,1.6571
3308.9061,54.83,2.699,0.1142,3.841,39.1095,8.97
3288.9417,56.43,2.726,0.1017,4.034,50.5178,13.75
3298.2336,54.57,2.695,0.1204,3.217,66.72,14.04
3415.5816,59.7,2.666,0.1276,3.272,53.98,3.224
3415.4292,58.71,2.672,0.1193,3.326,55.02,3.468
3376.11,54.02,2.674,8.03E-02,3.655,49.83,11.27
3767.1756,57.2278,2.6573,0.135232,3.9715,38.4892,14.6479
3335.1216,60.3981,2.6489,0.181353,3.5095,56.9925,1.3447
3603.8028,55.1621,2.692,0.120496,3.5542,30.4535,8.5352
3125.4192,53.8127,2.7837,7.86E-02,3.8164,43.241,103.708
3544.5192,52.6897,2.7785,0.062132,3.5465,42.4472,18.1533
3305.4036,69.8002,2.6228,20.4344,3.826,125.14,6.5457
3286.6584,65.7385,2.5355,18.2343,3.251,63.9721,3.2513
3286.8108,66.5573,2.517,18.3782,3.1299,60.5811,3.2137
3287.4204,69.493,2.4373,18.4708,2.5898,56.077,2.933
3304.794,71.191,2.6229,14.991,4.0301,113.086,7.0715
3305.0988,69.8122,2.6267,17.7374,3.9755,116.999,6.8952
3734.1048,58.4174,2.6197,0.19126,4.0351,33.7669,27.1311
3359.5056,57.0311,2.7341,0.105173,3.447,38.6071,8.7256
3088.6908,56.2626,2.6962,0.102403,4.1438,32.6845,95.1265
3767.0232,55.4747,2.66,0.115345,3.9519,32.8401,18.7206
3306.0132,71.3407,2.6138,22.3992,3.6979,134.85,4.8668
3306.1656,71.754,2.6101,23.4573,3.7393,136.476,4.4491
3306.318,72.1908,2.6053,24.9754,3.7976,137.929,4.1131
3733.6476,55.137,2.7778,0.113926,4.1349,22.1155,97.9723
3135.63,56.8442,2.6513,0.14207,3.9905,44.6532,6.3922
3672.3828,66.0487,2.6786,0.193393,3.842,61.4718,1.9606
3741.5724,53.8287,2.7928,0.067926,4.5087,25.3093,42.2048
3662.172,68.8106,2.5641,0.185623,3.8518,35.9567,6.6954
3139.2876,62.331,2.6467,15.6267,4.2329,40.6993,4.232
3650.1324,63.6782,2.6161,0.160327,3.7227,39.5449,5.7456
3126.1812,55.555,2.7432,0.106302,3.7146,56.4792,11.7569
3139.5924,61.5574,2.7133,0.145428,3.9198,40.5767,3.7817
3483.2544,56.6911,2.6859,0.11954,3.7023,50.7814,2000
3663.0864,74.4981,2.5464,0.19783,3.955,39.5225,5.5146
3148.1268,69.9085,2.5636,0.22254,3.8856,36.0361,9.0071
3184.7028,58.3253,2.6299,0.106482,4.2,19.7802,115.658
3184.8552,57.1011,2.6464,0.088443,4.2821,19.9204,84.7606
3185.16,56.174,2.6749,6.08E-02,4.4713,17.568,63.5336
3185.4648,56.9672,2.683,0.04802,4.5194,14.6081,71.1252
3429,70.5081,2.4334,0.122584,2.7842,13.2624,3.1628
3429.6096,72.9249,2.413,0.144783,2.7059,13.3042,2.0556
3429.9144,72.9772,2.4075,0.151335,2.596,13.3143,1.8218
3430.0668,73.1067,2.4007,0.15332,2.5315,13.4286,1.7789
3430.3716,73.5311,2.3931,0.154781,2.4077,14.0586,1.685
3430.8288,73.3318,2.4045,0.153728,2.5511,14.5867,1.4728
3431.1336,72.8327,2.4089,0.153519,2.5583,14.8292,1.4921
3431.5908,72.3133,2.4119,0.150133,2.6051,14.8628,1.739
3431.7432,72.2185,2.4111,0.149185,2.6442,14.4436,1.8301
3432.048,72.383,2.4026,0.150758,2.5436,13.4716,1.81
3432.3528,73.3613,2.3859,0.157602,2.4432,13.25,1.776
3432.5052,74.1261,2.3769,0.162164,2.4511,13.2862,1.6909
3433.2672,76.5815,2.354,0.169528,2.3505,13.0881,1.1229
3433.7244,76.4457,2.356,0.1701,2.3992,13.6778,1.12
3433.8768,76.3223,2.3569,0.169104,2.3787,13.7462,1.12
3434.0292,76.0927,2.3615,0.166827,2.4195,14.2027,1.1761
3434.4864,74.322,2.391,0.156903,2.496,15.3596,1.3951
3435.5532,71.6309,2.4428,0.161997,2.6423,21.2715,1.589
3435.858,72.1431,2.4224,0.168897,2.6413,21.5781,1.7421
3436.0104,72.696,2.4038,0.171192,2.5378,21.9602,1.745
3155.2896,67.067,2.5336,0.207009,3.8755,38.0516,19.4355
3080.9184,53.4386,2.7183,6.6333,4.3888,56.4942,16.6442
3783.7872,60.9122,2.5692,9.61E-02,4.8266,30.7362,23.7148
3741.5724,77.3486,2.3549,0.1685,2.5103,43.7356,0.7546
3726.4848,75.6886,2.3439,0.157494,1.9525,18.958,0.5442
3717.036,72.3377,2.6438,0.214077,3.6725,119.874,4.0289
3656.6856,56.3951,2.7059,9.94E-02,4.2853,76.4053,15.5401
3787.4448,60.1145,2.5579,0.102516,3.8555,19.127,30.1532
3777.5388,57.0117,2.673,0.039902,4.9506,8.1447,87.5269
3603.6504,55.918,2.6909,0.123697,3.5931,29.5438,9.5738
3824.3256,57.0289,2.7241,8.63E-02,3.9926,35.7403,7.7008
3483.4068,56.9717,2.686,0.120085,3.7651,52.0033,2000
3546.8052,58.3984,2.6625,0.060446,4.6077,30.8249,12.3198
3629.5471,50.35,2.822,3.387,3.999,29.02,189.5
3524.7072,53.2971,2.7219,0.111247,3.3958,48.0517,12.2447
3312.8712,54.7801,2.7157,5.17E-02,4.777,21.1253,94.0901
3298.5456,58.8807,2.4905,0.195505,3.4103,23.2853,12.205
3435.4008,65.6561,2.5152,0.148336,3.7536,29.7566,24.7246
3573.4752,81.5079,2.6754,0.173814,4.2189,65.4262,4.1951
3440.5824,69.6786,2.4689,0.148359,4.6887,19.0079,37.0786
3374.2884,71.4473,2.5057,0.18361,3.1454,48.0495,3.0908
3330.2448,55.1777,2.7271,8.89E-02,4.422,28.3808,20.9713
3643.5792,69.2243,2.4623,0.24115,3.7809,59.6856,7.6
3486.7596,56.7884,2.6411,6.18E-02,5.071,17.7133,7.3748
3286.0488,60.5028,2.682,9.53E-02,3.0425,57.3887,4.3925
3441.6492,67.7866,2.5055,0.15172,4.5536,26.4433,12.3751
3374.7456,73.3839,2.5183,0.18421,3.0934,54.7968,2.7455
3481.578,80.4325,2.5112,0.244475,2.8509,80.903,0.8343
